71	RFQ48	RFQ_CELL	5.381	-	0.0804177	-	-90	-90	0.075002897	0.012643392	2792.193	93407.055
72	RFQ49	RFQ_CELL	5.381	-	0.0804331	-	-90	-90	0.075003145	0.012643413	2797.574	93587.131
73	RFQ50	RFQ_CELL	5.381	-	0.0804488	-	-90	-90	0.075003409	0.012643435	2802.955	93767.209
74	RFQ51	RFQ_CELL	5.381	-	0.0804648	-	-90	-90	0.075003689	0.012643459	2808.336	93947.289
75	RFQ52	RFQ_CELL	5.381	-	0.080481	-	-90	-90	0.075003985	0.012643484	2813.717	94127.371
76	RFQ53	RFQ_CELL	5.381	-	0.0804975	-	-90	-90	0.0750043	0.01264351	2819.098	94307.455
77	RFQ54	RFQ_CELL	5.381	-	0.0805143	-	-90	-90	0.075004634	0.012643538	2824.479	94487.542
78	RFQ55	RFQ_CELL	5.381	-	0.0805314	-	-90	-90	0.075004984	0.012643568	2829.86	94667.631
79	RFQ56	RFQ_CELL	5.381	-	0.0805487	-	-90	-90	0.075005354	0.012643599	2835.241	94847.721
80	RFQ57	RFQ_CELL	5.381	-	0.0805664	-	-90	-90	0.075005744	0.012643632	2840.622	95027.814
81	RFQ58	RFQ_CELL	5.381	-	0.0805842	-	-90	-90	0.075006156	0.012643666	2846.003	95207.91
82	RFQ59	RFQ_CELL	5.381	-	0.0806024	-	-90	-90	0.075006585	0.012643703	2851.384	95388.007
83	RFQ60	RFQ_CELL	5.381	-	0.0806208	-	-90	-90	0.075007037	0.012643741	2856.765	95568.106
84	RFQ61	RFQ_CELL	5.381	-	0.0806396	-	-90	-90	0.075007512	0.012643781	2862.146	95748.208
85	RFQ62	RFQ_CELL	5.381	-	0.0806585	-	-90	-90	0.07500801	0.012643823	2867.527	95928.311
86	RFQ63	RFQ_CELL	5.381	-	0.0806778	-	-90	-90	0.075008529	0.012643866	2872.908	96108.417
87	RFQ64	RFQ_CELL	5.381	-	0.0806973	-	-90	-90	0.075009072	0.012643912	2878.289	96288.524
88	RFQ65	RFQ_CELL	5.381	-	0.0807171	-	-90	-90	0.075009639	0.01264396	2883.67	96468.634
89	RFQ66	RFQ_CELL	5.381	-	0.0807372	-	-90	-90	0.075010229	0.01264401	2889.051	96648.746
90	RFQ67	RFQ_CELL	5.381	-	0.0807576	-	-90	-90	0.075010844	0.012644062	2894.432	96828.859
91	RFQ68	RFQ_CELL	5.381	-	0.0807782	-	-90	-90	0.075011486	0.012644116	2899.813	97008.975
92	RFQ69	RFQ_CELL	5.381	-	0.0807991	-	-90	-90	0.075012154	0.012644172	2905.194	97189.093
93	RFQ70	RFQ_CELL	5.381	-	0.0808202	-	-90	-90	0.075012846	0.01264423	2910.575	97369.213
94	RFQ71	RFQ_CELL	5.381	-	0.0808417	-	-90	-90	0.075013567	0.012644291	2915.956	97549.334
95	RFQ72	RFQ_CELL	5.381	-	0.0808634	-	-90	-90	0.075014315	0.012644354	2921.337	97729.458
96	RFQ73	RFQ_CELL	5.381	-	0.0808853	-	-90	-90	0.075015088	0.012644419	2926.718	97909.583
97	RFQ74	RFQ_CELL	5.381	-	0.0809076	-	-90	-90	0.07501589	0.012644487	2932.099	98089.71
98	RFQ75	RFQ_CELL	5.381	-	0.0809301	-	-90	-90	0.075016717	0.012644556	2937.48	98269.839
99	RFQ76	RFQ_CELL	5.381	-	0.0809529	-	-90	-90	0.075017574	0.012644629	2942.861	98449.97
100	RFQ77	RFQ_CELL	5.381	-	0.0809759	-	-90	-90	0.075018462	0.012644704	2948.242	98630.103
101	RFQ78	RFQ_CELL	5.381	-	0.0809992	-	-90	-90	0.075019376	0.01264478	2953.623	98810.237
102	RFQ79	RFQ_CELL	5.381	-	0.0810228	-	-90	-90	0.075020321	0.01264486	2959.004	98990.373
103	RFQ80	RFQ_CELL	5.381	-	0.0810467	-	-90	-90	0.075021292	0.012644942	2964.385	99170.51
104	RFQ81	RFQ_CELL	5.381	-	0.0810708	-	-89.9992	-89.9992	0.075022308	0.012645028	2969.766	99350.65
105	RFQ82	RFQ_CELL	5.381	-	0.0810952	-	-89.997	-89.997	0.075023383	0.012645118	2975.147	99530.791
106	RFQ83	RFQ_CELL	5.381	-	0.0811198	-	-89.9932	-89.9932	0.075024547	0.012645216	2980.528	99710.933
107	RFQ84	RFQ_CELL	5.381	-	0.0811448	-	-89.9879	-89.9879	0.07502582	0.012645324	2985.909	99891.077
108	RFQ85	RFQ_CELL	5.381	-	0.0811699	-	-89.9811	-89.9811	0.075027233	0.012645443	2991.29	100071.22
109	RFQ86	RFQ_CELL	5.381	-	0.0811954	-	-89.9727	-89.9727	0.075028806	0.012645575	2996.671	100251.37
110	RFQ87	RFQ_CELL	5.381	-	0.0812211	-	-89.9629	-89.9629	0.075030566	0.012645723	3002.052	100431.51
111	RFQ88	RFQ_CELL	5.381	-	0.0812471	-	-89.9515	-89.9515	0.075032547	0.01264589	3007.433	100611.66
112	RFQ89	RFQ_CELL	5.381	-	0.0812733	-	-89.9386	-89.9386	0.075034773	0.012646078	3012.814	100791.81
113	RFQ90	RFQ_CELL	5.381	-	0.0812999	-	-89.9243	-89.9243	0.075037279	0.012646289	3018.195	100971.96
114	RFQ91	RFQ_CELL	5.381	-	0.0813266	-	-89.9084	-89.9084	0.075040089	0.012646526	3023.576	101152.1
115	RFQ92	RFQ_CELL	5.382	-	0.0813537	-	-89.8909	-89.8909	0.075043522	0.012646815	3028.958	101332.28
116	RFQ93	RFQ_CELL	5.382	-	0.081381	-	-89.872	-89.872	0.07504732	0.012647135	3034.34	101512.46
117	RFQ94	RFQ_CELL	5.382	-	0.0814086	-	-89.8516	-89.8516	0.075051528	0.01264749	3039.722	101692.64
118	RFQ95	RFQ_CELL	5.382	-	0.0814364	-	-89.8297	-89.8297	0.075056168	0.01264788	3045.104	101872.81
119	RFQ96	RFQ_CELL	5.382	-	0.0814645	-	-89.8062	-89.8062	0.075061273	0.01264831	3050.486	102052.98
120	RFQ97	RFQ_CELL	5.382	-	0.0814928	-	-89.7813	-89.7813	0.075066876	0.012648783	3055.868	102233.15
121	RFQ98	RFQ_CELL	5.382	-	0.0815215	-	-89.7548	-89.7548	0.075073029	0.012649301	3061.25	102413.32
122	RFQ99	RFQ_CELL	5.383	-	0.0815503	-	-89.7269	-89.7269	0.075080071	0.012649894	3066.633	102593.51
123	RFQ100	RFQ_CELL	5.383	-	0.0815795	-	-89.6974	-89.6974	0.075087718	0.012650538	3072.016	102773.69
124	RFQ101	RFQ_CELL	5.383	-	0.0816089	-	-89.6664	-89.6664	0.075096007	0.012651236	3077.399	102953.87
125	RFQ102	RFQ_CELL	5.384	-	0.0816386	-	-89.634	-89.634	0.0751053	0.012652019	3082.783	103134.08
126	RFQ103	RFQ_CELL	5.384	-	0.0816685	-	-89.6	-89.6	0.075115307	0.012652862	3088.167	103314.27
127	RFQ104	RFQ_CELL	5.384	-	0.0816987	-	-89.5646	-89.5646	0.075126066	0.012653768	3093.551	103494.46
128	RFQ105	RFQ_CELL	5.385	-	0.0817291	-	-89.5276	-89.5276	0.075137955	0.012654769	3098.936	103674.67
129	RFQ106	RFQ_CELL	5.385	-	0.0817599	-	-89.4892	-89.4892	0.075150673	0.01265584	3104.321	103854.86
130	RFQ107	RFQ_CELL	5.385	-	0.0817908	-	-89.4493	-89.4493	0.075164249	0.012656983	3109.706	104035.05
131	RFQ108	RFQ_CELL	5.386	-	0.0818221	-	-89.4079	-89.4079	0.075179083	0.012658231	3115.092	104215.25
132	RFQ109	RFQ_CELL	5.386	-	0.0818536	-	-89.365	-89.365	0.075194854	0.012659559	3120.478	104395.44
133	RFQ110	RFQ_CELL	5.387	-	0.0818853	-	-89.3206	-89.3206	0.075211979	0.012661	3125.865	104575.64
134	RFQ111	RFQ_CELL	5.388	-	0.0819173	-	-89.2747	-89.2747	0.075230493	0.012662558	3131.253	104755.86
135	RFQ112	RFQ_CELL	5.388	-	0.0819496	-	-89.2274	-89.2274	0.075250012	0.012664201	3136.641	104936.06
136	RFQ113	RFQ_CELL	5.389	-	0.0819821	-	-89.1785	-89.1785	0.075271008	0.012665967	3142.03	105116.27
137	RFQ114	RFQ_CELL	5.39	-	0.0820149	-	-89.1283	-89.1283	0.075293519	0.012667861	3147.42	105296.49
138	RFQ115	RFQ_CELL	5.39	-	0.082048	-	-89.0765	-89.0765	0.075317202	0.012669852	3152.81	105476.69
139	RFQ116	RFQ_CELL	5.391	-	0.0820813	-	-89.0233	-89.0233	0.075342479	0.012671978	3158.201	105656.89
140	RFQ117	RFQ_CELL	5.392	-	0.0821149	-	-88.9686	-88.9686	0.075369357	0.012674238	3163.593	105837.1
141	RFQ118	RFQ_CELL	5.393	-	0.0821487	-	-88.9124	-88.9124	0.075397914	0.012676638	3168.986	106017.31
142	RFQ119	RFQ_CELL	5.394	-	0.0821828	-	-88.8548	-88.8548	0.075428207	0.012679185	3174.38	106197.52
143	RFQ120	RFQ_CELL	5.395	-	0.0822171	-	-88.7957	-88.7957	0.075460209	0.012681874	3179.775	106377.73
144	RFQ121	RFQ_CELL	5.396	-	0.0822517	-	-88.7352	-88.7352	0.075494016	0.012684714	3185.171	106557.94
145	RFQ122	RFQ_CELL	5.397	-	0.0822866	-	-88.6732	-88.6732	0.075529611	0.012687703	3190.568	106738.14
146	RFQ123	RFQ_CELL	5.399	-	0.0823217	-	-88.6097	-88.6097	0.075567523	0.012690887	3195.967	106918.36
147	RFQ124	RFQ_CELL	5.4	-	0.0823571	-	-88.5448	-88.5448	0.075607363	0.012694231	3201.367	107098.58
148	RFQ125	RFQ_CELL	5.401	-	0.0823928	-	-88.4785	-88.4785	0.075649106	0.012697735	3206.768	107278.79
149	RFQ126	RFQ_CELL	5.403	-	0.0824287	-	-88.4108	-88.4108	0.075693298	0.012701443	3212.171	107459.01
150	RFQ127	RFQ_CELL	5.404	-	0.0824648	-	-88.3416	-88.3416	0.075739446	0.012705313	3217.575	107639.21
151	RFQ128	RFQ_CELL	5.406	-	0.0825013	-	-88.2709	-88.2709	0.075788134	0.012709396	3222.981	107819.43
152	RFQ129	RFQ_CELL	5.408	-	0.082538	-	-88.1989	-88.1989	0.075839323	0.012713687	3228.389	107999.66
153	RFQ130	RFQ_CELL	5.41	-	0.0825749	-	-88.1254	-88.1254	0.075893027	0.012718187	3233.799	108179.89
154	RFQ131	RFQ_CELL	5.412	-	0.0826122	-	-88.0505	-88.0505	0.075949396	0.012722909	3239.211	108360.13
155	RFQ132	RFQ_CELL	5.414	-	0.0826496	-	-87.9742	-87.9742	0.076008354	0.012727845	3244.625	108540.37
