"sect","cell","slot","essname","len[mm]","s,s[mm]","MCS,s,x[mm]","MCS,s,y[mm]","MCS,s,z[mm]","s,m[mm]","MCS,m,x[mm]","MCS,m,y[mm]","MCS,m,z[mm]","s,e[mm]","MCS,e,x[mm]","MCS,e,y[mm]","MCS,e,z[mm]","TCS,s,x[mm]","TCS,s,y[mm]","TCS,s,z[mm]","TCS,m,x[mm]","TCS,m,y[mm]","TCS,m,z[mm]","TCS,e,x[mm]","TCS,e,y[mm]","TCS,e,z[mm]"
"HEBT","080","LWU","HEBT-080LWU",1932.4,421017.718,0.0,0.0,421017.718,421983.918,0.0,0.0,421983.918,422950.118,0.0,0.0,422950.118,0.0,-4500.0,-181609.436,0.0,-4500.0,-180643.236,0.0,-4500.0,-179677.036
"HEBT","080","Drf","HEBT-080Drf",6587.6,422950.118,0.0,0.0,422950.118,426243.918,0.0,0.0,426243.918,429537.718,0.0,0.0,429537.718,0.0,-4500.0,-179677.036,0.0,-4500.0,-176383.236,0.0,-4500.0,-173089.436
"HEBT","090","LWU","HEBT-090LWU",1932.4,429537.718,0.0,0.0,429537.718,430503.918,0.0,0.0,430503.918,431470.118,0.0,0.0,431470.118,0.0,-4500.0,-173089.436,0.0,-4500.0,-172123.236,0.0,-4500.0,-171157.036
"HEBT","090","Drf","HEBT-090Drf",6587.6,431470.118,0.0,0.0,431470.118,434763.918,0.0,0.0,434763.918,438057.718,0.0,0.0,438057.718,0.0,-4500.0,-171157.036,0.0,-4500.0,-167863.236,0.0,-4500.0,-164569.436
"HEBT","100","LWU","HEBT-100LWU",1932.4,438057.718,0.0,0.0,438057.718,439023.918,0.0,0.0,439023.918,439990.118,0.0,0.0,439990.118,0.0,-4500.0,-164569.436,0.0,-4500.0,-163603.236,0.0,-4500.0,-162637.036
"HEBT","100","Drf","HEBT-100Drf",6587.6,439990.118,0.0,0.0,439990.118,443283.918,0.0,0.0,443283.918,446577.718,0.0,0.0,446577.718,0.0,-4500.0,-162637.036,0.0,-4500.0,-159343.236,0.0,-4500.0,-156049.436
"HEBT","110","LWU","HEBT-110LWU",1932.4,446577.718,0.0,0.0,446577.718,447543.918,0.0,0.0,447543.918,448510.118,0.0,0.0,448510.118,0.0,-4500.0,-156049.436,0.0,-4500.0,-155083.236,0.0,-4500.0,-154117.036
"HEBT","110","Drf","HEBT-110Drf",6587.6,448510.118,0.0,0.0,448510.118,451803.918,0.0,0.0,451803.918,455097.718,0.0,0.0,455097.718,0.0,-4500.0,-154117.036,0.0,-4500.0,-150823.236,0.0,-4500.0,-147529.436
"HEBT","120","LWU","HEBT-120LWU",1932.4,455097.718,0.0,0.0,455097.718,456063.918,0.0,0.0,456063.918,457030.118,0.0,0.0,457030.118,0.0,-4500.0,-147529.436,0.0,-4500.0,-146563.236,0.0,-4500.0,-145597.036
"HEBT","120","Drf","HEBT-120Drf",6587.6,457030.118,0.0,0.0,457030.118,460323.918,0.0,0.0,460323.918,463617.718,0.0,0.0,463617.718,0.0,-4500.0,-145597.036,0.0,-4500.0,-142303.236,0.0,-4500.0,-139009.436
"HEBT","130","LWU","HEBT-130LWU",1932.4,463617.718,0.0,0.0,463617.718,464583.918,0.0,0.0,464583.918,465550.118,0.0,0.0,465550.118,0.0,-4500.0,-139009.436,0.0,-4500.0,-138043.236,0.0,-4500.0,-137077.036
"HEBT","130","Drf","HEBT-130Drf",6587.6,465550.118,0.0,0.0,465550.118,468843.918,0.0,0.0,468843.918,472137.718,0.0,0.0,472137.718,0.0,-4500.0,-137077.036,0.0,-4500.0,-133783.236,0.0,-4500.0,-130489.436
"HEBT","140","LWU","HEBT-140LWU",1932.4,472137.718,0.0,0.0,472137.718,473103.918,0.0,0.0,473103.918,474070.118,0.0,0.0,474070.118,0.0,-4500.0,-130489.436,0.0,-4500.0,-129523.236,0.0,-4500.0,-128557.036
"HEBT","140","Drf","HEBT-140Drf",6587.6,474070.118,0.0,0.0,474070.118,477363.918,0.0,0.0,477363.918,480657.718,0.0,0.0,480657.718,0.0,-4500.0,-128557.036,0.0,-4500.0,-125263.236,0.0,-4500.0,-121969.436
"HEBT","150","LWU","HEBT-150LWU",1932.4,480657.718,0.0,0.0,480657.718,481623.918,0.0,0.0,481623.918,482590.118,0.0,0.0,482590.118,0.0,-4500.0,-121969.436,0.0,-4500.0,-121003.236,0.0,-4500.0,-120037.036
"HEBT","150","Drf","HEBT-150Drf",6587.6,482590.118,0.0,0.0,482590.118,485883.918,0.0,0.0,485883.918,489177.718,0.0,0.0,489177.718,0.0,-4500.0,-120037.036,0.0,-4500.0,-116743.236,0.0,-4500.0,-113449.436
"HEBT","160","LWU","HEBT-160LWU",1932.4,489177.718,0.0,0.0,489177.718,490143.918,0.0,0.0,490143.918,491110.118,0.0,0.0,491110.118,0.0,-4500.0,-113449.436,0.0,-4500.0,-112483.236,0.0,-4500.0,-111517.036
"HEBT","160","Drf","HEBT-160Drf",620.3,491110.118,0.0,0.0,491110.118,491420.268,0.0,0.0,491420.268,491730.418,0.0,0.0,491730.418,0.0,-4500.0,-111517.036,0.0,-4500.0,-111206.886,0.0,-4500.0,-110896.736
"DmpL","010","Drf","DmpL-010Drf",14855.5,491730.418,0.0,0.0,491730.418,499158.168,0.0,0.0,499158.168,506585.918,0.0,0.0,506585.918,0.0,-4500.0,-110896.736,0.0,-4500.0,-103468.986,0.0,-4500.0,-96041.236
"DmpL","010","QC","DmpL-010QC",4461.599,506585.918,0.0,0.0,506585.918,508816.718,0.0,0.0,508816.718,511047.517,0.0,0.0,511047.517,0.0,-4500.0,-96041.236,0.0,-4500.0,-93810.436,0.0,-4500.0,-91579.637
"DmpL","020","Drf","DmpL-020Drf",5815.6,511047.517,0.0,0.0,511047.517,513955.317,0.0,0.0,513955.317,516863.117,0.0,0.0,516863.117,0.0,-4500.0,-91579.637,0.0,-4500.0,-88671.837,0.0,-4500.0,-85764.037
"DmpL","020","QC","DmpL-020QC",1510.9,516863.117,0.0,0.0,516863.117,517618.567,0.0,0.0,517618.567,518374.017,0.0,0.0,518374.017,0.0,-4500.0,-85764.037,0.0,-4500.0,-85008.587,0.0,-4500.0,-84253.137
"DmpL","030","Drf","DmpL-030Drf",5815.3,518374.017,0.0,0.0,518374.017,521281.667,0.0,0.0,521281.667,524189.317,0.0,0.0,524189.317,0.0,-4500.0,-84253.137,0.0,-4500.0,-81345.487,0.0,-4500.0,-78437.837
"DmpL","030","QC","DmpL-030QC",1510.928,524189.317,0.0,0.0,524189.317,524944.781,0.0,0.0,524944.781,525700.245,0.0,0.0,525700.245,0.0,-4500.0,-78437.837,0.0,-4500.0,-77682.373,0.0,-4500.0,-76926.909
"DmpL","040","Drf","DmpL-040Drf",15390.0,525700.245,0.0,0.0,525700.245,533395.245,0.0,0.0,533395.245,541090.245,0.0,0.0,541090.245,0.0,-4500.0,-76926.909,0.0,-4500.0,-69231.909,0.0,-4500.0,-61536.909
"DmpL","050","Drf","DmpL-050Drf",5137.92,541090.245,0.0,0.0,541090.245,543659.205,0.0,0.0,543659.205,546228.165,0.0,0.0,546228.165,0.0,-4500.0,-61536.909,0.0,-4500.0,-58967.949,0.0,-4500.0,-56398.989
